date,category,product,quantity,unit_price
2026-03-01,Yazılım,Python Eğitimi,0,0
2026-03-01,Tasarım,UI Temelleri,-1,-1
2026-03-01,Veri,Pandas Uygulama,1,1300
2026-03-02,Yazılım,Java Eğitimi,3,1550
2026-03-02,Tasarım,Figma Atölyesi,2,1150
2026-03-02,Veri,NumPy Analiz,2,1450
2026-03-03,Yazılım,DevOps Eğitimi,1,1850
2026-03-03,Tasarım,UI Temelleri,4,1000
2026-03-03,Veri,Pandas Uygulama,2,1400
2026-03-04,Yazılım,Python Eğitimi,1,1350
2026-03-04,Tasarım,Figma Atölyesi,1,1250
2026-03-04,Veri,NumPy Analiz,2,1550
2026-03-05,Yazılım,Java Eğitimi,1,1500
2026-03-05,Tasarım,UI Temelleri,3,900
2026-03-05,Veri,Pandas Uygulama,2,1300
2026-03-06,Yazılım,DevOps Eğitimi,2,1800
2026-03-06,Tasarım,Figma Atölyesi,1,1150
2026-03-06,Veri,NumPy Analiz,4,1450
2026-03-07,Yazılım,Python Eğitimi,2,1300
2026-03-07,Tasarım,UI Temelleri,1,1000
2026-03-07,Veri,Pandas Uygulama,1,1400
2026-03-08,Yazılım,Java Eğitimi,2,1650
2026-03-08,Tasarım,Figma Atölyesi,1,1250
2026-03-08,Veri,NumPy Analiz,3,1550
2026-03-09,Yazılım,DevOps Eğitimi,2,1750
2026-03-09,Tasarım,UI Temelleri,2,900
2026-03-09,Veri,Pandas Uygulama,1,1300
2026-03-10,Yazılım,Python Eğitimi,4,1250
2026-03-10,Tasarım,Figma Atölyesi,2,1150
2026-03-10,Veri,NumPy Analiz,1,1450
2026-03-11,Yazılım,Java Eğitimi,1,1600
2026-03-11,Tasarım,UI Temelleri,2,1000
2026-03-11,Veri,Pandas Uygulama,1,1400
2026-03-12,Yazılım,DevOps Eğitimi,3,1900
2026-03-12,Tasarım,Figma Atölyesi,2,1250
2026-03-12,Veri,NumPy Analiz,2,1550
2026-03-13,Yazılım,Python Eğitimi,1,1200
2026-03-13,Tasarım,UI Temelleri,4,900
2026-03-13,Veri,Pandas Uygulama,2,1300
2026-03-14,Yazılım,Java Eğitimi,1,1550
2026-03-14,Tasarım,Figma Atölyesi,1,1150
2026-03-14,Veri,NumPy Analiz,2,1450
2026-03-15,Yazılım,DevOps Eğitimi,1,1850
2026-03-15,Tasarım,UI Temelleri,3,1000
2026-03-15,Veri,Pandas Uygulama,2,1400
2026-03-16,Yazılım,Python Eğitimi,2,1350
2026-03-16,Tasarım,Figma Atölyesi,1,1250
2026-03-16,Veri,NumPy Analiz,4,1550
2026-03-17,Yazılım,Java Eğitimi,2,1500
2026-03-17,Tasarım,UI Temelleri,1,900
2026-03-17,Veri,Pandas Uygulama,1,1300
2026-03-18,Yazılım,DevOps Eğitimi,2,1800
2026-03-18,Tasarım,Figma Atölyesi,1,1150
2026-03-18,Veri,NumPy Analiz,3,1450
2026-03-19,Yazılım,Python Eğitimi,2,1300
2026-03-19,Tasarım,UI Temelleri,2,1000
2026-03-19,Veri,Pandas Uygulama,1,1400
2026-03-20,Yazılım,Java Eğitimi,4,1650
2026-03-20,Tasarım,Figma Atölyesi,2,1250
2026-03-20,Veri,NumPy Analiz,1,1550
